model_size|update_type|sample_id|timestamp_seconds|delta_seconds|object_count|object_delta_count|remote_reference_sent_ack_count|remote_reference_sent_ack_delta_count|remote_reference_recv_ack_count|remote_reference_recv_ack_delta_count
420|OBJECT|0|0|25|70|70|0|0|0|0
420|OBJECT|1|25|25|140|70|0|0|0|0
420|OBJECT|2|50|25|420|280|0|0|0|0
420|OBJECT|3|75|25|420|0|0|0|0|0
420|OBJECT|4|100|25|420|0|0|0|0|0
420|OBJECT|5|125|25|420|0|0|0|0|0
420|OBJECT|6|150|25|420|0|0|0|0|0
420|OBJECT|7|175|25|420|0|0|0|0|0
420|OBJECT|8|200|25|420|0|0|0|0|0
420|OBJECT|9|225|25|420|0|0|0|0|0
420|OBJECT|10|250|25|420|0|0|0|0|0
420|OBJECT|11|275|25|420|0|0|0|0|0
420|OBJECT|12|300|25|420|0|0|0|0|0
420|OBJECT|13|325|25|420|0|0|0|0|0
420|OBJECT|14|350|25|420|0|0|0|0|0
420|OBJECT|15|375|25|420|0|0|0|0|0
420|OBJECT|16|400|25|420|0|0|0|0|0
420|OBJECT|17|425|25|420|0|0|0|0|0
420|OBJECT|18|450|25|420|0|0|0|0|0
420|OBJECT|19|475|25|420|0|0|0|0|0
420|OBJECT|20|500|25|420|0|0|0|0|0
420|OBJECT|21|525|25|420|0|0|0|0|0
420|OBJECT|22|550|25|420|0|0|0|0|0
420|OBJECT|23|575|25|420|0|0|0|0|0
420|OBJECT|24|600|25|420|0|0|0|0|0
420|OBJECT|25|625|25|420|0|0|0|0|0
420|OBJECT|26|650|25|420|0|0|0|0|0
420|OBJECT|27|675|25|420|0|0|0|0|0
420|OBJECT|28|700|25|420|0|0|0|0|0
420|OBJECT|29|725|25|420|0|0|0|0|0
420|OBJECT|30|750|25|420|0|0|0|0|0
420|OBJECT|31|775|25|420|0|0|0|0|0
420|OBJECT|32|800|25|420|0|0|0|0|0
420|OBJECT|33|825|25|420|0|0|0|0|0
420|OBJECT|34|850|25|420|0|0|0|0|0
420|OBJECT|35|875|25|420|0|0|0|0|0
420|OBJECT|36|900|25|420|0|0|0|0|0
420|OBJECT|37|925|25|420|0|0|0|0|0
420|OBJECT|38|950|25|420|0|0|0|0|0
420|OBJECT|39|975|25|420|0|0|0|0|0
420|OBJECT|40|1000|25|420|0|0|0|0|0
420|OBJECT|41|1025|25|420|0|0|0|0|0
420|OBJECT|42|1050|25|420|0|0|0|0|0
420|OBJECT|43|1075|25|420|0|0|0|0|0
